identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,product/ProductName,product/availability,product/clockSpeed,product/currentGeneration,product/dedicatedEbsThroughput,product/durability,product/ebsOptimized,product/enhancedNetworkingSupported,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/licenseModel,product/location,product/locationType,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/networkPerformance,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/servicecode,product/sku,product/storage,product/storageClass,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/volumeType,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/TotalReservedUnits,reservation/UnitsPerReservation,Arch
fe2cvnc4q5pty3gdficwbb45zi2b3pbptjcx66yio7emvbxephea,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,EBSOptimized:m4.xlarge,Hourly,us-east-1b,i-0f834a183049deb8e,1.0,USD,0.0,0.0,0.0,0.0,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,Yes,Yes,,,,,General purpose,m4.xlarge,,US East (N. Virginia),AWS Region,,,,,16 GiB,High,,Hourly,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,9W95WEA2F9V4BVUJ,EBS only,,,Shared,,,,EBSOptimized:m4.xlarge,4.0,,0.0,0.0,OnDemand,Hrs,,,A1
6ei7ytmspfzv7veokfmwx6cicucwg4cvjxz6vpsknk3v7yomgepa,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonS3,USE1-USW2-AWS-Out-Bytes,HeadBucket,,cloudydap,1.499e-05,USD,0.02,3e-07,0.02,3e-07,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),,Amazon Simple Storage Service,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,XGXYRYWGNXSSEUVT,,,,,US West (Oregon),AWS Region,InterRegion Outbound,USE1-USW2-AWS-Out-Bytes,,,2.998e-07,0.02,OnDemand,GB,,,A1
4jzuhmkgitivq5prmfmm2emdjdk43dsbsny7fps5t4hichpba7ba,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,EBSOptimized:m4.xlarge,Hourly,us-east-1b,i-0cf811acceee758cb,1.0,USD,0.0,0.0,0.0,0.0,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,Yes,Yes,,,,,General purpose,m4.xlarge,,US East (N. Virginia),AWS Region,,,,,16 GiB,High,,Hourly,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,9W95WEA2F9V4BVUJ,EBS only,,,Shared,,,,EBSOptimized:m4.xlarge,4.0,,0.0,0.0,OnDemand,Hrs,,,A1
27f35dmp5tkelddqrt76kcurd6o5abppypqnecu2zzbvnkmxc3iq,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonS3,USE1-USW2-AWS-Out-Bytes,GetObject,,cloudydap,0.00027868,USD,0.02,5.57e-06,0.02,5.57e-06,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),,Amazon Simple Storage Service,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,XGXYRYWGNXSSEUVT,,,,,US West (Oregon),AWS Region,InterRegion Outbound,USE1-USW2-AWS-Out-Bytes,,,5.5736e-06,0.02,OnDemand,GB,,,A1
hodlvr22zwtenjdqq2qhks7gwhqsoqtyuoxzxx2zgpfs3ycy373q,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,cloudydap,16.38130786,USD,0.023,0.37677008,0.023,0.37677008,$0.023 per GB - first 50 TB / month of storage used,,Amazon Simple Storage Service,99.99%,,,,99.999999999%,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,Storage,AmazonS3,WP9ANXZGBYYSGJEA,,General Purpose,,,,,,TimedStorage-ByteHrs,,Standard,0.37677008079999996,0.023,OnDemand,GB-Mo,,,A1
2jzqibbjuykwnfam3qwfjxw54v7cvk2ydrwrcm2tcnd2ot5rwkiq,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonS3,USE1-USW2-AWS-Out-Bytes,ListBucketVersions,,cloudydap,0.11638479,USD,0.02,0.0023277,0.02,0.0023277,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),,Amazon Simple Storage Service,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,XGXYRYWGNXSSEUVT,,,,,US West (Oregon),AWS Region,InterRegion Outbound,USE1-USW2-AWS-Out-Bytes,,,0.0023276957999999997,0.02,OnDemand,GB,,,A1
6ka2tmvvmjvmp7czqitplp66vcq6s3mh7cpvvm6qsbga3wal3qpa,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonS3,Requests-Tier2,HeadBucket,,cloudydap,37.0,USD,4e-07,1.48e-05,4e-07,1.48e-05,"$0.004 per 10,000 GET and all other requests",,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,API Request,AmazonS3,ZWQ6Q48CRJXX4FXE,,,,,,,,Requests-Tier2,,,1.48e-05,4e-07,OnDemand,Requests,,,A1
vlugas2d4j7gy4i2lmje4qpjl2xjqibe3tp5qefgr7c3k6v77zcq,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonS3,Requests-Tier2,GetObject,,cloudydap,876.0,USD,4e-07,0.0003504,4e-07,0.0003504,"$0.004 per 10,000 GET and all other requests",,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,API Request,AmazonS3,ZWQ6Q48CRJXX4FXE,,,,,,,,Requests-Tier2,,,0.0003504,4e-07,OnDemand,Requests,,,A1
eyvb45z4kelgcvo4zzmi4oivl42pjds6wjvnfegx7tuuu4jrlv6a,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonS3,Requests-Tier1,ListBucketVersions,,cloudydap,303.0,USD,5e-06,0.001515,5e-06,0.001515,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,API Request,AmazonS3,E9YHNFENF4XQBZR6,,,,,,,,Requests-Tier1,,,0.001515,5e-06,OnDemand,Requests,,,A1
iqnpbepc67tdnqe2w3zejugm62mgsflg5e7x4e2cybn2uzi4ofga,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,EBSOptimized:m4.xlarge,Hourly,us-east-1b,i-08f1fe0eb7e6672c3,1.0,USD,0.0,0.0,0.0,0.0,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,Yes,Yes,,,,,General purpose,m4.xlarge,,US East (N. Virginia),AWS Region,,,,,16 GiB,High,,Hourly,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,9W95WEA2F9V4BVUJ,EBS only,,,Shared,,,,EBSOptimized:m4.xlarge,4.0,,0.0,0.0,OnDemand,Hrs,,,A1
ltdxcb2mjb55mpyfsie3q2vohts3df2kb27cghmuoihdoo6xktqa,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,EBS:VolumeUsage.gp2,CreateVolume-Gp2,,vol-0799da2d58753e62c,0.11904763,USD,0.1,0.01190476,0.1,0.01190476,$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US East (Northern Virginia),,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,3000 for volumes <= 1 TiB,10000.0,160 MB/sec,16 TiB,,,,,,,,,Storage,AmazonEC2,HY3BZPP2B6K8MSJF,,,SSD-backed,,,,,EBS:VolumeUsage.gp2,,General Purpose,0.011904763,0.1,OnDemand,GB-Mo,,,A1
67apuowold77vt56jprydhnwvibihisauak32ztjuiq3wplq6yna,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-0f834a183049deb8e,1.0,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4.0,,0.215,0.215,OnDemand,Hrs,,,A1
jrr3g3y6vw5x5umooo2pqqr2q2exbqo2r7vdxigo6nwdomz6ce6a,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,EBS:VolumeUsage.gp2,CreateVolume-Gp2,,vol-0264505543e0a6ca1,0.14880952,USD,0.1,0.01488095,0.1,0.01488095,$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US East (Northern Virginia),,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,3000 for volumes <= 1 TiB,10000.0,160 MB/sec,16 TiB,,,,,,,,,Storage,AmazonEC2,HY3BZPP2B6K8MSJF,,,SSD-backed,,,,,EBS:VolumeUsage.gp2,,General Purpose,0.014880952,0.1,OnDemand,GB-Mo,,,A1
krl3clre3d7quwgmap5njbh77zef6ultic6euirakde4mp65fb3q,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-08f1fe0eb7e6672c3,1.0,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4.0,,0.215,0.215,OnDemand,Hrs,,,A1
nsmseos2h2kubmsy27k223s33pfh5ycr5gmsojmnayiqvm4ks6hq,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-0cf811acceee758cb,1.0,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4.0,,0.215,0.215,OnDemand,Hrs,,,A1
sl4rp7gjbrikiuncxgar67j6feuamhiwpgacgbn5p6dbzwx42eka,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-08f1fe0eb7e6672c3,1.647e-05,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0.0,0.0,OnDemand,GB,,,A1
jegoqduqgczm3jhdx4lt7hzwawsk35oxicpql2rgtwgtvdeozwca,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-0cf811acceee758cb,7.142e-05,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0.0,0.0,OnDemand,GB,,,A1
2ihgp7qdxnnu7wung3zddyehixaple6bmmbzz6s54ygwap4ycgya,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,EBS:VolumeUsage.gp2,CreateVolume-Gp2,,vol-06dce5c9ee0eef382,0.14880952,USD,0.1,0.01488095,0.1,0.01488095,$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US East (Northern Virginia),,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,3000 for volumes <= 1 TiB,10000.0,160 MB/sec,16 TiB,,,,,,,,,Storage,AmazonEC2,HY3BZPP2B6K8MSJF,,,SSD-backed,,,,,EBS:VolumeUsage.gp2,,General Purpose,0.014880952,0.1,OnDemand,GB-Mo,,,A1
vgs2iwaegzrq6dczstu27265emdse756qw2pykgaizaoy4fgu55a,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,DataTransfer-Out-Bytes,RunInstances,,i-0cf811acceee758cb,0.00012113,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer out under the monthly global free tier,,Amazon Elastic Compute Cloud,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,HQEH3ZWJVT46JHRG,,,,,External,Other,AWS Outbound,DataTransfer-Out-Bytes,,,0.0,0.0,,,,,A1
jiv2au3upszc3e4zr25cgakk4v42ligpcjbjfa5yl5oky7o33tlq,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,DataTransfer-Out-Bytes,RunInstances,,i-08f1fe0eb7e6672c3,6.962e-05,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer out under the monthly global free tier,,Amazon Elastic Compute Cloud,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,HQEH3ZWJVT46JHRG,,,,,External,Other,AWS Outbound,DataTransfer-Out-Bytes,,,0.0,0.0,,,,,A1
yoqjvihegzqoxx4vvbsv6n7jgjlxhf5r2gcbvl7s6t23q7ycqvcq,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,DataTransfer-Out-Bytes,RunInstances,,i-0f834a183049deb8e,0.00343315,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer out under the monthly global free tier,,Amazon Elastic Compute Cloud,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,HQEH3ZWJVT46JHRG,,,,,External,Other,AWS Outbound,DataTransfer-Out-Bytes,,,0.0,0.0,,,,,A1
vfljep74krxhssyblug3sk52p4h262wkamala5ee7hhnunm5oema,2017-02-23T10:00:00Z/2017-02-23T11:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T10:00:00+00:00,2017-02-23T11:00:00+00:00,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-0f834a183049deb8e,0.00024197,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0.0,0.0,OnDemand,GB,,,A1
ltdxcb2mjb55mpyfsie3q2vohts3df2kb27cghmuoihdoo6xktqa,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonEC2,EBS:VolumeUsage.gp2,CreateVolume-Gp2,,vol-0799da2d58753e62c,0.11904763,USD,0.1,0.01190476,0.1,0.01190476,$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US East (Northern Virginia),,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,3000 for volumes <= 1 TiB,10000.0,160 MB/sec,16 TiB,,,,,,,,,Storage,AmazonEC2,HY3BZPP2B6K8MSJF,,,SSD-backed,,,,,EBS:VolumeUsage.gp2,,General Purpose,0.011904763,0.1,OnDemand,GB-Mo,,,A1
6ei7ytmspfzv7veokfmwx6cicucwg4cvjxz6vpsknk3v7yomgepa,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonS3,USE1-USW2-AWS-Out-Bytes,HeadBucket,,cloudydap,1.418e-05,USD,0.02,2.8e-07,0.02,2.8e-07,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),,Amazon Simple Storage Service,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,XGXYRYWGNXSSEUVT,,,,,US West (Oregon),AWS Region,InterRegion Outbound,USE1-USW2-AWS-Out-Bytes,,,2.8359999999999997e-07,0.02,OnDemand,GB,,,A1
27f35dmp5tkelddqrt76kcurd6o5abppypqnecu2zzbvnkmxc3iq,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonS3,USE1-USW2-AWS-Out-Bytes,GetObject,,cloudydap,0.0005893,USD,0.02,1.179e-05,0.02,1.179e-05,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),,Amazon Simple Storage Service,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,XGXYRYWGNXSSEUVT,,,,,US West (Oregon),AWS Region,InterRegion Outbound,USE1-USW2-AWS-Out-Bytes,,,1.1785999999999999e-05,0.02,OnDemand,GB,,,A1
6ka2tmvvmjvmp7czqitplp66vcq6s3mh7cpvvm6qsbga3wal3qpa,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonS3,Requests-Tier2,HeadBucket,,cloudydap,35.0,USD,4e-07,1.4e-05,4e-07,1.4e-05,"$0.004 per 10,000 GET and all other requests",,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,API Request,AmazonS3,ZWQ6Q48CRJXX4FXE,,,,,,,,Requests-Tier2,,,1.4e-05,4e-07,OnDemand,Requests,,,A1
vlugas2d4j7gy4i2lmje4qpjl2xjqibe3tp5qefgr7c3k6v77zcq,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonS3,Requests-Tier2,GetObject,,cloudydap,795.0,USD,4e-07,0.000318,4e-07,0.000318,"$0.004 per 10,000 GET and all other requests",,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,API Request,AmazonS3,ZWQ6Q48CRJXX4FXE,,,,,,,,Requests-Tier2,,,0.000318,4e-07,OnDemand,Requests,,,A1
eyvb45z4kelgcvo4zzmi4oivl42pjds6wjvnfegx7tuuu4jrlv6a,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonS3,Requests-Tier1,ListBucketVersions,,cloudydap,305.0,USD,5e-06,0.001525,5e-06,0.001525,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,API Request,AmazonS3,E9YHNFENF4XQBZR6,,,,,,,,Requests-Tier1,,,0.001525,5e-06,OnDemand,Requests,,,A1
4jzuhmkgitivq5prmfmm2emdjdk43dsbsny7fps5t4hichpba7ba,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonEC2,EBSOptimized:m4.xlarge,Hourly,us-east-1b,i-0cf811acceee758cb,1.0,USD,0.0,0.0,0.0,0.0,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,Yes,Yes,,,,,General purpose,m4.xlarge,,US East (N. Virginia),AWS Region,,,,,16 GiB,High,,Hourly,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,9W95WEA2F9V4BVUJ,EBS only,,,Shared,,,,EBSOptimized:m4.xlarge,4.0,,0.0,0.0,OnDemand,Hrs,,,A1
iqnpbepc67tdnqe2w3zejugm62mgsflg5e7x4e2cybn2uzi4ofga,2017-02-23T11:00:00Z/2017-02-23T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-23T11:00:00+00:00,2017-02-23T12:00:00+00:00,AmazonEC2,EBSOptimized:m4.xlarge,Hourly,us-east-1b,i-08f1fe0eb7e6672c3,1.0,USD,0.0,0.0,0.0,0.0,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,Yes,Yes,,,,,General purpose,m4.xlarge,,US East (N. Virginia),AWS Region,,,,,16 GiB,High,,Hourly,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,9W95WEA2F9V4BVUJ,EBS only,,,Shared,,,,EBSOptimized:m4.xlarge,4.0,,0.0,0.0,OnDemand,Hrs,,,A1
