identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,product/ProductName,product/availability,product/clockSpeed,product/currentGeneration,product/dedicatedEbsThroughput,product/durability,product/ebsOptimized,product/enhancedNetworkingSupported,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/licenseModel,product/location,product/locationType,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/networkPerformance,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/servicecode,product/sku,product/storage,product/storageClass,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/volumeType,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/TotalReservedUnits,reservation/UnitsPerReservation,Arch
ykf3inpigd5vusoxxeyn3odtuaqbf34gy4liqoyqkfpfpnwftikq,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-001ab428d88c8ae62,1.0,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4.0,,0.215,0.215,OnDemand,Hrs,,,A2
nsmseos2h2kubmsy27k223s33pfh5ycr5gmsojmnayiqvm4ks6hq,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-0cf811acceee758cb,1.0,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4.0,,0.215,0.215,OnDemand,Hrs,,,A2
67apuowold77vt56jprydhnwvibihisauak32ztjuiq3wplq6yna,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-0f834a183049deb8e,1.0,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4.0,,0.215,0.215,OnDemand,Hrs,,,A2
krl3clre3d7quwgmap5njbh77zef6ultic6euirakde4mp65fb3q,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-08f1fe0eb7e6672c3,1.0,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4.0,,0.215,0.215,OnDemand,Hrs,,,A2
jikkbc5fiuadyuld4xi4esgctmvs77mr5sxnzhtgrj7rjjktfbua,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-001ab428d88c8ae62,0.00011202,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0.0,0.0,OnDemand,GB,,,A2
jrr3g3y6vw5x5umooo2pqqr2q2exbqo2r7vdxigo6nwdomz6ce6a,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,EBS:VolumeUsage.gp2,CreateVolume-Gp2,,vol-0264505543e0a6ca1,0.14880952,USD,0.1,0.01488095,0.1,0.01488095,$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US East (Northern Virginia),,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,3000 for volumes <= 1 TiB,10000.0,160 MB/sec,16 TiB,,,,,,,,,Storage,AmazonEC2,HY3BZPP2B6K8MSJF,,,SSD-backed,,,,,EBS:VolumeUsage.gp2,,General Purpose,0.014880952,0.1,OnDemand,GB-Mo,,,A2
jegoqduqgczm3jhdx4lt7hzwawsk35oxicpql2rgtwgtvdeozwca,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-0cf811acceee758cb,6.01e-06,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0.0,0.0,OnDemand,GB,,,A2
vfljep74krxhssyblug3sk52p4h262wkamala5ee7hhnunm5oema,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-0f834a183049deb8e,0.00157378,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0.0,0.0,OnDemand,GB,,,A2
whdfrh7dxeedfsrmok3b5qmmitycgugex6jmkppcimj26uqcj4ua,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,DataTransfer-Out-Bytes,RunInstances,,i-001ab428d88c8ae62,0.00023207,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer out under the monthly global free tier,,Amazon Elastic Compute Cloud,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,HQEH3ZWJVT46JHRG,,,,,External,Other,AWS Outbound,DataTransfer-Out-Bytes,,,0.0,0.0,,,,,A2
jiv2au3upszc3e4zr25cgakk4v42ligpcjbjfa5yl5oky7o33tlq,2017-02-24T11:00:00Z/2017-02-24T12:00:00Z,,AWS,Anniversary,688542879810,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,688542879810,Usage,2017-02-24T11:00:00+00:00,2017-02-24T12:00:00+00:00,AmazonEC2,DataTransfer-Out-Bytes,RunInstances,,i-08f1fe0eb7e6672c3,3.048e-05,USD,0.0,0.0,0.0,0.0,$0.000 per GB - data transfer out under the monthly global free tier,,Amazon Elastic Compute Cloud,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,,,,,,Data Transfer,AWSDataTransfer,HQEH3ZWJVT46JHRG,,,,,External,Other,AWS Outbound,DataTransfer-Out-Bytes,,,0.0,0.0,,,,,A2
