Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,HTTP_method,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time_ms,Turn_Around_Time_ms,Referrer,User_Agent,Version_Id
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:29+00:00,52.55.197.86,-,C07F674CEACA289C,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201412.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201412.nc4,200,-,112595503,112595503,1562,84,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:31+00:00,52.55.197.86,-,3B5EDF4F9826BFE5,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201501.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201501.nc4,200,-,112777411,112777411,1629,101,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:34+00:00,52.55.197.86,-,7253E0A83D8C2E39,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201502.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201502.nc4,200,-,112725857,112725857,2634,240,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:37+00:00,52.55.197.86,-,87A6F2DA017D6B68,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201503.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201503.nc4,200,-,112643484,112643484,3180,144,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:41+00:00,52.55.197.86,-,AB2E5E690B6A7210,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201504.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201504.nc4,200,-,112519317,112519317,4183,287,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:45+00:00,52.55.197.86,-,9962644453AFAFF6,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201505.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201505.nc4,200,-,112647590,112647590,2367,266,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:48+00:00,52.55.197.86,-,A411C3307514273C,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201506.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201506.nc4,200,-,112714016,112714016,2073,245,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:07:51+00:00,52.55.197.86,-,0A80907EC5F32A5B,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201507.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201507.nc4,200,-,162646153,162646153,7862,152,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:00+00:00,52.55.197.86,-,FA6975CDCC299AAE,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201508.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201508.nc4,200,-,162646153,162646153,2260,108,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:03+00:00,52.55.197.86,-,B77894EDCD74D841,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201509.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201509.nc4,200,-,162646153,162646153,2426,121,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
