identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,product/ProductName,product/availability,product/clockSpeed,product/currentGeneration,product/dedicatedEbsThroughput,product/durability,product/ebsOptimized,product/enhancedNetworkingSupported,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/licenseModel,product/location,product/locationType,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/networkPerformance,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/queueType,product/servicecode,product/sku,product/storage,product/storageClass,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/volumeType,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/TotalReservedUnits,reservation/UnitsPerReservation
fsa5e4mpu3suvllgkgdolwm6ba2q5v6j45nzjw6lxzgvy7epasua,2016-12-06T18:00:00Z/2016-12-06T19:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T18:00:00Z,2016-12-06T19:00:00Z,AmazonEC2,EBS:VolumeUsage.gp2,CreateVolume-Gp2,,vol-0799da2d58753e62c,0.10752689,USD,0.1,0.01075269,0.1,0.01075269,$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US East (Northern Virginia),,Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,3000 for volumes <= 1 TiB,10000,160 MB/sec,16 TiB,,,,,,,,,,,Storage,,AmazonEC2,HY3BZPP2B6K8MSJF,,,SSD-backed,,,,,EBS:VolumeUsage.gp2,,General Purpose,0.010752689,0.1,OnDemand,GB-Mo,,
vavb7c7y64hgavssuo3yet5u6eielirha4azftc2eusdhrlusgna,2016-12-06T18:00:00Z/2016-12-06T19:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T18:00:00Z,2016-12-06T19:00:00Z,AmazonEC2,EBSOptimized:m4.xlarge,Hourly,us-east-1b,i-0f834a183049deb8e,1,USD,0,0,0,0,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,Yes,Yes,,,,,General purpose,m4.xlarge,NA,US East (N. Virginia),AWS Region,,,,,16 GiB,,,High,NA,Hourly,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,,AmazonEC2,9W95WEA2F9V4BVUJ,EBS only,,,Shared,,,,EBSOptimized:m4.xlarge,4,,0,0,OnDemand,Hrs,,
it3ao6zn65mgrzmllyjlhf2k3h542hquibn2nlqyhhcxjv6y5fka,2016-12-06T18:00:00Z/2016-12-06T19:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T18:00:00Z,2016-12-06T19:00:00Z,AmazonEC2,EBSOptimized:m4.xlarge,Hourly,us-east-1b,i-08f1fe0eb7e6672c3,1,USD,0,0,0,0,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,Yes,Yes,,,,,General purpose,m4.xlarge,NA,US East (N. Virginia),AWS Region,,,,,16 GiB,,,High,NA,Hourly,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,,AmazonEC2,9W95WEA2F9V4BVUJ,EBS only,,,Shared,,,,EBSOptimized:m4.xlarge,4,,0,0,OnDemand,Hrs,,
wxechwjfemujehgk246mayu5ww7q37jp6sm3e4toxvdjivg7cokq,2016-12-06T18:00:00Z/2016-12-06T19:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T18:00:00Z,2016-12-06T19:00:00Z,AmazonS3,Requests-Tier1,PutObject,,cloudydap,2,USD,0,0,0,0,"$0.00 per request - PUT, COPY, POST, or LIST requests under the monthly global free tier",,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,API Request,,AmazonS3,E9YHNFENF4XQBZR6,,,,,,,,Requests-Tier1,,,0.00001,0.000005,,,,
g5nd5cti34z74uqzglp4kmfd5ixskbkgdsa3jzmtjlloa5bl2oqa,2016-12-06T18:00:00Z/2016-12-06T19:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T18:00:00Z,2016-12-06T19:00:00Z,AmazonS3,Requests-Tier2,GetObject,,cloudydap,572,USD,0,0,0,0,$0.00 per request - GET and all other requests under the monthly global free tier,,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,API Request,,AmazonS3,ZWQ6Q48CRJXX4FXE,,,,,,,,Requests-Tier2,,,0.0002288,0.0000004,,,,
7tjvfxifomclukg3fyroty7kroszlgolhxjh7x6wfd6i7pk2r4za,2016-12-06T18:00:00Z/2016-12-06T19:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T18:00:00Z,2016-12-06T19:00:00Z,AmazonS3,Requests-Tier2,ReadACL,,cloudydap,2,USD,0,0,0,0,$0.00 per request - GET and all other requests under the monthly global free tier,,Amazon Simple Storage Service,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,API Request,,AmazonS3,ZWQ6Q48CRJXX4FXE,,,,,,,,Requests-Tier2,,,0.0000008,0.0000004,,,,
cmdoimppxry76ozbrbd3oyz6knf6xt2uyymksf5sx3fhar7ohf4q,2016-12-06T19:00:00Z/2016-12-06T20:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T19:00:00Z,2016-12-06T20:00:00Z,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-0f834a183049deb8e,1,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,,,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4,,0.215,0.215,OnDemand,Hrs,,
bwtwx7q5afp3qntfdxiq237vmpeqvk3b7azqms7qzwec2b2mnigq,2016-12-06T19:00:00Z/2016-12-06T20:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T19:00:00Z,2016-12-06T20:00:00Z,AmazonEC2,BoxUsage:m4.xlarge,RunInstances,us-east-1b,i-08f1fe0eb7e6672c3,1,USD,0.215,0.215,0.215,0.215,$0.215 per On Demand Linux m4.xlarge Instance Hour,,Amazon Elastic Compute Cloud,,2.4  GHz,Yes,750 Mbps,,,Yes,,,,,General purpose,m4.xlarge,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,,,High,Linux,RunInstances,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,,AmazonEC2,47GP959QAF69YPG5,EBS only,,,Shared,,,,BoxUsage:m4.xlarge,4,,0.215,0.215,OnDemand,Hrs,,
sl4rp7gjbrikiuncxgar67j6feuamhiwpgacgbn5p6dbzwx42eka,2016-12-06T19:00:00Z/2016-12-06T20:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T19:00:00Z,2016-12-06T20:00:00Z,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-08f1fe0eb7e6672c3,0.00007785,USD,0,0,0,0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,,,Data Transfer,,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0,0,OnDemand,GB,,
vfljep74krxhssyblug3sk52p4h262wkamala5ee7hhnunm5oema,2016-12-06T19:00:00Z/2016-12-06T20:00:00Z,89479930,AWS,Anniversary,6.89E+11,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,6.89E+11,Usage,2016-12-06T19:00:00Z,2016-12-06T20:00:00Z,AmazonEC2,DataTransfer-In-Bytes,RunInstances,,i-0f834a183049deb8e,0.0000025,USD,0,0,0,0,$0.000 per GB - data transfer in per month,,Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,,,Data Transfer,,AWSDataTransfer,9MG5B7V4UUU2WPAV,,,,,US East (N. Virginia),AWS Region,AWS Inbound,DataTransfer-In-Bytes,,,0,0,OnDemand,GB,,
